name,rmse,rmseStd,mae,maeStd,time,tunedRmse,tunedMae
Memory-based Cosine,1.0174089371942787,0.004632204068877687,0.8052761613841073,0.004315874651309764,11.809762239456177,1.0169820678164136,0.8052761613841073
Memory-based Correlation,0.9524839898081104,0.0070005303519491795,0.7459710305223848,0.004676396303848607,14.87369990348816,0.9504209010511839,0.7445830930147525
Regularised Matrix Factorisation,0.9519389854843141,0.007063973185292285,0.7504332793068305,0.00554012268451397,14.584713459014893,0.9296124062544198,0.7316627364800697
